Dealer's Card,"(eights, nines, tens)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(1, 1, 11)","(1, 1, 12)","(1, 1, 13)","(1, 1, 14)","(1, 1, 15)","(1, 1, 16)","(1, 2, 11)","(1, 2, 12)","(1, 2, 13)","(1, 2, 14)","(1, 2, 15)","(1, 2, 16)","(1, 3, 11)","(1, 3, 12)","(1, 3, 13)","(1, 3, 14)","(1, 3, 15)","(1, 3, 16)","(1, 4, 11)","(1, 4, 12)","(1, 4, 13)","(1, 4, 14)","(1, 4, 15)","(1, 4, 16)","(2, 1, 11)","(2, 1, 12)","(2, 1, 13)","(2, 1, 14)","(2, 1, 15)","(2, 1, 16)","(2, 2, 11)","(2, 2, 12)","(2, 2, 13)","(2, 2, 14)","(2, 2, 15)","(2, 2, 16)","(2, 3, 11)","(2, 3, 12)","(2, 3, 13)","(2, 3, 14)","(2, 3, 15)","(2, 3, 16)","(2, 4, 11)","(2, 4, 12)","(2, 4, 13)","(2, 4, 14)","(2, 4, 15)","(2, 4, 16)","(3, 1, 11)","(3, 1, 12)","(3, 1, 13)","(3, 1, 14)","(3, 1, 15)","(3, 1, 16)","(3, 2, 11)","(3, 2, 12)","(3, 2, 13)","(3, 2, 14)","(3, 2, 15)","(3, 2, 16)","(3, 3, 11)","(3, 3, 12)","(3, 3, 13)","(3, 3, 14)","(3, 3, 15)","(3, 3, 16)","(3, 4, 11)","(3, 4, 12)","(3, 4, 13)","(3, 4, 14)","(3, 4, 15)","(3, 4, 16)","(4, 1, 11)","(4, 1, 12)","(4, 1, 13)","(4, 1, 14)","(4, 1, 15)","(4, 1, 16)","(4, 2, 11)","(4, 2, 12)","(4, 2, 13)","(4, 2, 14)","(4, 2, 15)","(4, 2, 16)","(4, 3, 11)","(4, 3, 12)","(4, 3, 13)","(4, 3, 14)","(4, 3, 15)","(4, 3, 16)","(4, 4, 11)","(4, 4, 12)","(4, 4, 13)","(4, 4, 14)","(4, 4, 15)","(4, 4, 16)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.3736,-0.22685,-0.1179,-0.07745,0.0443,0.2118,-0.34845,-0.19205,-0.0835,-0.0335,0.1095,0.20295,-0.26685,-0.16375,-0.03145,0.0693,0.1441,0.27855,-0.2653,-0.1175,-0.0052,0.0794,0.17115,0.34675,-0.31605,-0.2893,-0.1765,-0.0268,0.09535,0.17435,-0.27425,-0.2175,-0.10975,-0.0113,0.05765,0.20025,-0.28285,-0.1773,0.03115,0.019,0.1885,0.24445,-0.2108,-0.13575,-0.0011,0.0559,0.11935,0.2846,-0.3691,-0.2622,-0.13195,-0.1009,0.0735,0.16695,-0.2841,-0.2017,-0.1334,0.0102,0.10385,0.16,-0.2964,-0.20115,-0.0811,0.05345,0.14595,0.1645,-0.25165,-0.11915,-0.0572,0.03745,0.16095,0.25745,-0.4188,-0.2313,-0.14905,-0.08325,0.05585,0.1193,-0.3444,-0.25915,-0.0721,-0.0187,0.0332,0.13465,-0.28695,-0.21105,-0.0971,0.01855,0.09445,0.22085,-0.2708,-0.18925,-0.10035,-0.00215,0.0945,0.25605
,-0.39285,-0.40455,-0.45735,-0.5232,-0.46605,-0.48255,-0.44865,-0.4344,-0.41565,-0.504,-0.483,-0.5385,-0.45585,-0.4584,-0.45225,-0.5148,-0.4821,-0.4989,-0.42195,-0.48255,-0.50565,-0.4746,-0.49005,-0.52695,-0.3822,-0.3621,-0.4686,-0.45615,-0.44415,-0.4671,-0.4011,-0.438,-0.45945,-0.5511,-0.4977,-0.45855,-0.4509,-0.4341,-0.43275,-0.4806,-0.5031,-0.48195,-0.4731,-0.4641,-0.47745,-0.51705,-0.5034,-0.519,-0.41775,-0.43035,-0.4674,-0.52455,-0.44235,-0.49995,-0.40605,-0.41985,-0.4902,-0.4785,-0.51855,-0.51345,-0.4668,-0.4455,-0.4593,-0.49035,-0.5022,-0.5598,-0.44385,-0.4563,-0.47835,-0.5232,-0.5181,-0.5064,-0.41055,-0.4014,-0.44865,-0.4881,-0.4812,-0.46755,-0.45735,-0.44505,-0.4686,-0.465,-0.49905,-0.50625,-0.50145,-0.50355,-0.44355,-0.52245,-0.50715,-0.4695,-0.4887,-0.48045,-0.5811,-0.56505,-0.5559,-0.51
,-0.76645,-0.6314,-0.57525,-0.60065,-0.42175,-0.27075,-0.7971,-0.62645,-0.49915,-0.5375,-0.3735,-0.33555,-0.7227,-0.62215,-0.4837,-0.4455,-0.338,-0.22035,-0.68725,-0.60005,-0.51085,-0.3952,-0.3189,-0.1802,-0.69825,-0.6514,-0.6451,-0.48295,-0.3488,-0.29275,-0.67535,-0.6555,-0.5692,-0.5624,-0.44005,-0.2583,-0.73375,-0.6114,-0.4016,-0.4616,-0.3146,-0.2375,-0.6839,-0.59985,-0.47855,-0.46115,-0.38405,-0.2344,-0.78685,-0.69255,-0.59935,-0.62545,-0.36885,-0.333,-0.69015,-0.62155,-0.6236,-0.4683,-0.4147,-0.35345,-0.7632,-0.64665,-0.5404,-0.4369,-0.35625,-0.3953,-0.6955,-0.57545,-0.53555,-0.48575,-0.35715,-0.24895,-0.82935,-0.6327,-0.5977,-0.57135,-0.42535,-0.34825,-0.80175,-0.7042,-0.5407,-0.4837,-0.46585,-0.3716,-0.7884,-0.7146,-0.54065,-0.5039,-0.4127,-0.24865,-0.7595,-0.6697,-0.68145,-0.5672,-0.4614,-0.25395
,-0.058957692,-0.048569231,-0.04425,-0.046203846,-0.032442308,-0.020826923,-0.061315385,-0.048188462,-0.038396154,-0.041346154,-0.028730769,-0.025811538,-0.055592308,-0.047857692,-0.037207692,-0.034269231,-0.026,-0.01695,-0.052865385,-0.046157692,-0.039296154,-0.0304,-0.024530769,-0.013861538,-0.053711538,-0.050107692,-0.049623077,-0.03715,-0.026830769,-0.022519231,-0.05195,-0.050423077,-0.043784615,-0.043261538,-0.03385,-0.019869231,-0.056442308,-0.047030769,-0.030892308,-0.035507692,-0.0242,-0.018269231,-0.052607692,-0.046142308,-0.036811538,-0.035473077,-0.029542308,-0.018030769,-0.060526923,-0.053273077,-0.046103846,-0.048111538,-0.028373077,-0.025615385,-0.053088462,-0.047811538,-0.047969231,-0.036023077,-0.0319,-0.027188462,-0.058707692,-0.049742308,-0.041569231,-0.033607692,-0.027403846,-0.030407692,-0.0535,-0.044265385,-0.041196154,-0.037365385,-0.027473077,-0.01915,-0.063796154,-0.048669231,-0.045976923,-0.04395,-0.032719231,-0.026788462,-0.061673077,-0.054169231,-0.041592308,-0.037207692,-0.035834615,-0.028584615,-0.060646154,-0.054969231,-0.041588462,-0.038761538,-0.031746154,-0.019126923,-0.058423077,-0.051515385,-0.052419231,-0.043630769,-0.035492308,-0.019534615
,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-0.01995,-0.00515,0.02115,0.0128,0.05035,0.06385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.00915,0.02335,0.04935,0.0621,0.08225,0.08415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0145,0.03355,0.06455,0.0823,0.10915,0.1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0525,0.054,0.09065,0.1226,0.1494,0.15815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.07645,0.1023,0.12785,0.1468,0.1634,0.18725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0978,0.09205,0.11035,0.12425,0.1148,0.1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.03925,0.01385,0.0385,0.03255,0.05705,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-0.05495,-0.04395,-0.0515,-0.04025,-0.0692,-0.04205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-0.1746,-0.16535,-0.15025,-0.1682,-0.18855,-0.1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,-0.31435,-0.3272,-0.33455,-0.325,-0.3345,-0.3392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.2925,-0.22255,-0.0339,0.04995,0.13415,0.20445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.5238,-0.49605,-0.45075,-0.5046,-0.56565,-0.5349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.8163,-0.7186,-0.48465,-0.45465,-0.4315,-0.33045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.062792308,-0.055276923,-0.037280769,-0.034973077,-0.033192308,-0.025419231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
